Recipient,Amount
7p4jXnmQVsCcMiQ1yjZyaTwzd5hSszA9EojQXjk2KxGS,0.4
2dzJ99kT49qf5XGiHfMPHtnGz5zhhMcEXXcQR4RS93Rt,0.4
EsAWtFmFqDeQrim1EDxPvb64ZSsSKYVCQXpno7RsiLFi,0.4
4LLzJiTR4p6JqR4biyVQ17NgXZ418mXSkbRYxaK4ghhj,0.4
BDzDhZrH2rPAoYdSU7qWMUjiiR5YzVspVhgoTZbcj2aa,0.4
J3KZp4VYFJ6vAeBS4nFirer3sHiHuTJ36L7LhLXtyNLk,0.4
CepdRgr17Fh8c17pGHujPpagX83Xbwjz532kMaVgV3MH,0.4
3Qzujs5M8X65ghNDQY7RXhX4epeyjEc6QcAxPJb1mEYJ,0.4
5C2yZxzVVnniiBeAj9stzjPotnFDRCwnZymkwzRHNQwd,0.4
933RhNVs1SThSasnxT4fkWQLcKs7pAPS5x7XnHGhEbag,0.4
4fomXevaf1kLZBzdy8XcwmxMxyeDDjgNFZ598UBTz27Q,0.4
2qETBVDHvTFFfhqTFJjhz7eA1NLe9XZXuUxKVabg71uL,0.4
3qEkwQwmDduud9Yasne7fQvr8A4UuwB158C2Rea2177X,0.4
6CgLfHMZXP27vcLW7f9x1fPfzDULxWNy7edpfVBzq6vP,0.4
2zSzb36tYMogYssSrRExLNUdBtrZvXgLwrx41kgh8Vkm,0.4
fa1ra81T7g5DzSn7XT6z36zNqupHpG1Eh7omB2F6GTh,0.4
5nkanyPiHssmJozTRtSS1UcPiu67yPUXSgoQdqUqBfXz,0.4
EMo7RRcgfbiQAZqV449dn5Evn7ndbMz5kWea1e7nX2D8,0.4
BisPRAwnkNiHq4MqA3tXENVDWH3Ekp6jRGaBhCtCwudS,0.4
Ed3vPhHHvgh9H3iiW1y4mFvSpmEerYqNkjpZxn88CVDt,0.4
5JGcYD78gXa3Gej474uQybX5Mydt1BB6Jm6qkwg6mBbh,0.4
8oQjmyy4ruVozVgehK2dz6knY5XMRQzxqSKpPnDi4ULw,0.4
EXq7Wg3t8yRPUvxLVWYZT9VJC9ew5izt3SqMq8jWWp46,0.4
Fef1aJ4dbAgPiWdeMG9Cmfgie5TrCfbTFaHrqufLgr2B,0.4
CD9nHBiS1az6P6DVyLGVATxY89PWjw78nhjHgcAqgQnE,0.4
9Z1sH4qzmaAGLTUeedZcAkg7pWQYEHj219iopULZYeq8,0.4
2X8BBBYrhcYSce7RP6eSSyC3fWNug9zi5xSbupd1mTrm,0.4
C3gj4HW2QV3i7UV7YpaFAJDju4T5KhLLpWVbuPfwyHAB,0.4
3zD9Ljw9pVwHo1rGW2cBPHXziYdugmKKCJm2Y5Pn9zAc,0.4
Gmd4AjYALkXYZAp6hhMTyoRhob7p5Gry29hzraR7nYDo,0.4
BCFHDjr3MTYmAY2q5e6iwLdtu5qrn2uwfDnz3WohF7pz,0.4
